external_course_key,course_id,course_name,row_status
2163-08983,ROSTER--SPRI-PULLM-E_M-566-8983-LEC,ROSTER--SPRI-PULLM-E_M-566-8983-LEC,enabled
2163-09520,ROSTER--SPRI-VANCO-CS-541-9520-LEC,ROSTER--SPRI-VANCO-CS-541-9520-LEC,enabled
2163-08986,ROSTER--SPRI-ONLIN-E_M-566-8986-LEC,ROSTER--SPRI-ONLIN-E_M-566-8986-LEC,enabled
2163-09982,ROSTER--SPRI-TRICI-MSE-600-9982-IND,ROSTER--SPRI-TRICI-MSE-600-9982-IND,enabled
2163-05301,ROSTER--SPRI-PULLM-MSE-600-5301-IND,ROSTER--SPRI-PULLM-MSE-600-5301-IND,enabled
2163-02681,ROSTER--SPRI-PULLM-VET_MED-621-2681-LAB,ROSTER--SPRI-PULLM-VET_MED-621-2681-LAB,enabled
2163-10397,ROSTER--SPRI-PULLM-ED_ABRD-986-10397-LEC,ROSTER--SPRI-PULLM-ED_ABRD-986-10397-LEC,enabled
2163-10398,ROSTER--SPRI-PULLM-ED_ABRD-986-10398-LEC,ROSTER--SPRI-PULLM-ED_ABRD-986-10398-LEC,enabled
2163-06414,ROSTER--SPRI-PULLM-ECONS-491-6414-LEC,ROSTER--SPRI-PULLM-ECONS-491-6414-LEC,enabled
2163-02017,ROSTER--SPRI-PULLM-CHE-498-2017-LEC,ROSTER--SPRI-PULLM-CHE-498-2017-LEC,enabled
2163-10403,ROSTER--SPRI-PULLM-ED_ABRD-942-10403-LEC,ROSTER--SPRI-PULLM-ED_ABRD-942-10403-LEC,enabled
2163-10402,ROSTER--SPRI-PULLM-ED_ABRD-942-10402-LEC,ROSTER--SPRI-PULLM-ED_ABRD-942-10402-LEC,enabled
2163-03800,ROSTER--SPRI-PULLM-MBIOS-465-3800-LEC,ROSTER--SPRI-PULLM-MBIOS-465-3800-LEC,enabled
2163-10391,ROSTER--SPRI-PULLM-ED_ABRD-917-10391-LEC,ROSTER--SPRI-PULLM-ED_ABRD-917-10391-LEC,enabled
2163-10392,ROSTER--SPRI-PULLM-ED_ABRD-917-10392-LEC,ROSTER--SPRI-PULLM-ED_ABRD-917-10392-LEC,enabled
2163-10394,ROSTER--SPRI-PULLM-ED_ABRD-918-10394-LEC,ROSTER--SPRI-PULLM-ED_ABRD-918-10394-LEC,enabled
2163-10393,ROSTER--SPRI-PULLM-ED_ABRD-918-10393-LEC,ROSTER--SPRI-PULLM-ED_ABRD-918-10393-LEC,enabled
2163-07015,ROSTER--SPRI-VANCO-CS-224-7015-LEC,ROSTER--SPRI-VANCO-CS-224-7015-LEC,enabled
2163-07018,ROSTER--SPRI-VANCO-CS-251-7018-LAB,ROSTER--SPRI-VANCO-CS-251-7018-LAB,enabled
2163-07017,ROSTER--SPRI-VANCO-CS-251-7017-LAB,ROSTER--SPRI-VANCO-CS-251-7017-LAB,enabled
2163-07016,ROSTER--SPRI-VANCO-CS-251-7016-LEC,ROSTER--SPRI-VANCO-CS-251-7016-LEC,enabled
2163-01317,ROSTER--SPRI-TRICI-CPT_S-451-1317-LEC,ROSTER--SPRI-TRICI-CPT_S-451-1317-LEC,enabled
2163-03975,ROSTER--SPRI-PULLM-CPT_S-451-3975-LEC,ROSTER--SPRI-PULLM-CPT_S-451-3975-LEC,enabled
2163-10385,ROSTER--SPRI-PULLM-ED_ABRD-903-10385-LEC,ROSTER--SPRI-PULLM-ED_ABRD-903-10385-LEC,enabled
2163-10386,ROSTER--SPRI-PULLM-ED_ABRD-903-10386-LEC,ROSTER--SPRI-PULLM-ED_ABRD-903-10386-LEC,enabled
2163-10187,ROSTER--SPRI-VANCO-CS-595-10187-LAB,ROSTER--SPRI-VANCO-CS-595-10187-LAB,enabled
2163-02627,ROSTER--SPRI-PULLM-VET_MED-570-2627-LEC,ROSTER--SPRI-PULLM-VET_MED-570-2627-LEC,enabled
2163-10396,ROSTER--SPRI-PULLM-ED_ABRD-982-10396-LEC,ROSTER--SPRI-PULLM-ED_ABRD-982-10396-LEC,enabled
2163-10395,ROSTER--SPRI-PULLM-ED_ABRD-982-10395-LEC,ROSTER--SPRI-PULLM-ED_ABRD-982-10395-LEC,enabled
2163-07072,ROSTER--SPRI-VANCO-ECE-260-7072-LAB,ROSTER--SPRI-VANCO-ECE-260-7072-LAB,enabled
2163-07071,ROSTER--SPRI-VANCO-ECE-260-7071-LEC,ROSTER--SPRI-VANCO-ECE-260-7071-LEC,enabled
